title,url,priority,type,state,subsystem,affected version,included in builds,avaliable in,latest affected,created date,refactoring_haibo,refactoring_zhuolin,final label,input program,final label1,input property,symptoms,refactoring type,commit_html_url,new root cause,new root cause zl,stage,stage zl,"disagree (root cause, stage)",checked,cross checked,reproducebale,might need to remove,oracle,notes,initialize refactoring,propocess/ precondition,,perform change,confused,note
Push Members Down does not warn about broken references,https://youtrack.jetbrains.com/issue/IDEA-30366/Push-Members-Down-does-not-warn-about-broken-references,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Module rename is not reflected reflect to Application title,https://youtrack.jetbrains.com/issue/IDEA-30378/Module-rename-is-not-reflected-reflect-to-Application-title,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Filter or Servlet deletion undo does not work,https://youtrack.jetbrains.com/issue/IDEA-30384/Filter-or-Servlet-deletion-undo-does-not-work,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initial Condition,,,,,,,,,,,,,,
"""Replace constructor with factory method"" produces undesirable code for classes with more than one generic type parameter",https://youtrack.jetbrains.com/issue/IDEA-30382/Replace-constructor-with-factory-method-produces-undesirable-code-for-classes-with-more-than-one-generic-type-parameter,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
Strange folder delete undo behavior,https://youtrack.jetbrains.com/issue/IDEA-30387/Strange-folder-delete-undo-behavior,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initialize Refactoring,,,,,,,,,,,,,,
Extract interface/Use interface where possible refactorings unaware of foreach loop,https://youtrack.jetbrains.com/issue/IDEA-30410/Extract-interface-Use-interface-where-possible-refactorings-unaware-of-foreach-loop,Critical,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Pull Members Up... does not warn if super interface already contains members,https://youtrack.jetbrains.com/issue/IDEA-30440/Pull-Members-Up...-does-not-warn-if-super-interface-already-contains-members,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""Inline"" refactoring for static final field is not available from Project and Structure views",https://youtrack.jetbrains.com/issue/IDEA-30454/Inline-refactoring-for-static-final-field-is-not-available-from-Project-and-Structure-views,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""Make method static"" searches much too wide a scope.",https://youtrack.jetbrains.com/issue/IDEA-30470/Make-method-static-searches-much-too-wide-a-scope.,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
"Extract Interface with ""Rename original class and use interface where possible"" puts the interface in the given package instead of the implementation class as stated.",https://youtrack.jetbrains.com/issue/IDEA-30472/Extract-Interface-with-Rename-original-class-and-use-interface-where-possible-puts-the-interface-in-the-given-package-instead-of,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Tag rename for file with non-XML extenstion does not work,https://youtrack.jetbrains.com/issue/IDEA-30536/Tag-rename-for-file-with-non-XML-extenstion-does-not-work,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
"Illegal refactorings of ""JspClass""",https://youtrack.jetbrains.com/issue/IDEA-30535/Illegal-refactorings-of-JspClass,Major,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Create method doesn't detect when final parameters are required,https://youtrack.jetbrains.com/issue/IDEA-30594/Create-method-doesnt-detect-when-final-parameters-are-required,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Renaming a tag's name in the .tld file loses prefix in usage.,https://youtrack.jetbrains.com/issue/IDEA-30599/Renaming-a-tags-name-in-the-.tld-file-loses-prefix-in-usage.,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
"Rename of just created file with graphic extension, e.g. gif, does not cause to error message disappearance",https://youtrack.jetbrains.com/issue/IDEA-30603/Rename-of-just-created-file-with-graphic-extension-e.g.-gif-does-not-cause-to-error-message-disappearance,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Collect Info,,,,,,,,,,,,,,
"""make static"" for inner class breaks code",https://youtrack.jetbrains.com/issue/IDEA-30667/make-static-for-inner-class-breaks-code,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Final Condition,,,,,,,,,,,,,,
Incorrect error messages when moving inner enum class to outer level,https://youtrack.jetbrains.com/issue/IDEA-30678/Incorrect-error-messages-when-moving-inner-enum-class-to-outer-level,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Initialize Refactoring,,,,,,,,,,,,,,
False conflict report: change method signature,https://youtrack.jetbrains.com/issue/IDEA-30705/False-conflict-report-change-method-signature,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,Create Change,,,,,,,,,,,,,,
"""Introduce Constant"" dialog should set Public visibility to On by default",https://youtrack.jetbrains.com/issue/IDEA-30725/Introduce-Constant-dialog-should-set-Public-visibility-to-On-by-default,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"cannot ""make static"" an abstract inner class",https://youtrack.jetbrains.com/issue/IDEA-30755/cannot-make-static-an-abstract-inner-class,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"If ""Optimize imports on the fly"" is set to on, then user can get in infinite loop of Undo operation",https://youtrack.jetbrains.com/issue/IDEA-30766/If-Optimize-imports-on-the-fly-is-set-to-on-then-user-can-get-in-infinite-loop-of-Undo-operation,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract Method creates fully qualified names for symbols imported via static import,https://youtrack.jetbrains.com/issue/IDEA-40363/Extract-Method-creates-fully-qualified-names-for-symbols-imported-via-static-import,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Move field can create illegal forward references,https://youtrack.jetbrains.com/issue/IDEA-40387/Move-field-can-create-illegal-forward-references,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Move member doesn't honor static imports,https://youtrack.jetbrains.com/issue/IDEA-40418/Move-member-doesnt-honor-static-imports,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
rename refactoring for methods not working in JSPs,https://youtrack.jetbrains.com/issue/IDEA-40433/rename-refactoring-for-methods-not-working-in-JSPs,Major,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Inline variable generates bad code,https://youtrack.jetbrains.com/issue/IDEA-40447/Inline-variable-generates-bad-code,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Conflict is not reported if refactoring would create a reference from production to test code,https://youtrack.jetbrains.com/issue/IDEA-40453/Conflict-is-not-reported-if-refactoring-would-create-a-reference-from-production-to-test-code,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Move Inner to Upper Level suggests unqualified target package,https://youtrack.jetbrains.com/issue/IDEA-40467/Move-Inner-to-Upper-Level-suggests-unqualified-target-package,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce Constant is not storing the previous values,https://youtrack.jetbrains.com/issue/IDEA-40535/Introduce-Constant-is-not-storing-the-previous-values,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Varargs: Inline Methods breaks code,https://youtrack.jetbrains.com/issue/IDEA-30852/Varargs-Inline-Methods-breaks-code,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract Method: Name textfield loses focus,https://youtrack.jetbrains.com/issue/IDEA-40584/Extract-Method-Name-textfield-loses-focus,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract Superclass creates incorrect arguments for call to super-ctor,https://youtrack.jetbrains.com/issue/IDEA-40604/Extract-Superclass-creates-incorrect-arguments-for-call-to-super-ctor,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactoring not finding usages in .property files,https://youtrack.jetbrains.com/issue/IDEA-30923/Refactoring-not-finding-usages-in-.property-files,Major,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracting method from an lvalue processes its write-access usages incorrectly,https://youtrack.jetbrains.com/issue/IDEA-30941/Extracting-method-from-an-lvalue-processes-its-write-access-usages-incorrectly,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pull members up"" on inner classes does not rename references to EnclosingClass.this so that they point to SuperEnclosingClass.this",https://youtrack.jetbrains.com/issue/IDEA-30973/Pull-members-up-on-inner-classes-does-not-rename-references-to-EnclosingClass.this-so-that-they-point-to,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Move Refactoring removes favorite from list,https://youtrack.jetbrains.com/issue/IDEA-40690/Move-Refactoring-removes-favorite-from-list,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extract Method: ""static"" checkbox incorrectly enabled",https://youtrack.jetbrains.com/issue/IDEA-40719/Extract-Method-static-checkbox-incorrectly-enabled,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor|Push Members Down: does not preselect current method any more,https://youtrack.jetbrains.com/issue/IDEA-40754/RefactorPush-Members-Down-does-not-preselect-current-method-any-more,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accepting one quickfix for ""declaration can be weaker"" invalidates other inspection results",https://youtrack.jetbrains.com/issue/IDEA-40773/Accepting-one-quickfix-for-declaration-can-be-weaker-invalidates-other-inspection-results,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce Variable puts results in wrong scope,https://youtrack.jetbrains.com/issue/IDEA-31051/Introduce-Variable-puts-results-in-wrong-scope,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Extract method generates wrong return type for arrays,https://youtrack.jetbrains.com/issue/IDEA-31109/Extract-method-generates-wrong-return-type-for-arrays,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"i18n bug: ""Method foo() will override a method of the base class class test.B""",https://youtrack.jetbrains.com/issue/IDEA-31128/i18n-bug-Method-foo-will-override-a-method-of-the-base-class-class-test.B,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Refactor|Use Interface Where Possible"" produces uncompilable suggestions",https://youtrack.jetbrains.com/issue/IDEA-31219/RefactorUse-Interface-Where-Possible-produces-uncompilable-suggestions,Normal,Bug,Fixed,Java. Refactorings,Not specified,108.65,Not specified,Not specified,10 Feb 2023,,,,,,,,,,,,,,,,,,,,,,,,,,
