html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,has_input_program,has_patch,refactoring type,symptom,sub symptom,input property
https://bz.apache.org/netbeans/show_bug.cgi?id=226493,226493,P2,java,Refactor,ralphbenjamin,VERI,FIXE,Inline Refactoring - Fails,2013/3/20,1,0,inline method,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=223340,223340,P2,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactoring: ""Introduce Local Extension"" creates non-compileable code for abstract classes",2012/12/11,1,0,Introduce Local Extension,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=222301,222301,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with builder] Refactoring cannot be used in enums and abstract classes,2012/11/21,1,0,Replace constructor with builder,compile error,compile error,enum
https://bz.apache.org/netbeans/show_bug.cgi?id=222403,222403,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"""Move members"" refactoring generates wrong constructor for anonymous classes",2012/11/21,1,0,move method,compile error,compile error,
https://bz.apache.org/netbeans/show_bug.cgi?id=221949,221949,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Replace constructor with factory] No warning when refactoring enum constructor,2012/11/15,1,0,Replace constructor with factory,compile error,compile error,enum
https://bz.apache.org/netbeans/show_bug.cgi?id=215256,215256,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"Refactoring ""change method parameters"" confuses parameters of newly created delegate",2012/10/6,1,0,Change Method Parameters,behavior change,behavior change,
https://bz.apache.org/netbeans/show_bug.cgi?id=218053,218053,P2,java,Refactor,ralphbenjamin,RESO,FIXE,IllegalArgumentException after ChangeMethodParameters refactoring,2012/9/20,1,0,Change Method Parameters,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=218114,218114,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactoring produces illegal code?,2012/9/19,1,0,Replace constructor with factory,compile error,compile error,inner class
https://bz.apache.org/netbeans/show_bug.cgi?id=216700,216700,P3,java,Refactor,ralphbenjamin,RESO,FIXE,"When refactoring a static method from one class to another, recursive calls to the same method are altered to refer to the methods original location.",2012/9/8,1,0,move method,compile error,compile error,recursive call
https://bz.apache.org/netbeans/show_bug.cgi?id=215137,215137,P2,java,Refactor,ralphbenjamin,VERI,FIXE,Field rename refactoring does not work as expected,2012/9/7,1,0,rename field,failed refactoring,fail to refactoring,
https://bz.apache.org/netbeans/show_bug.cgi?id=206574,206574,P3,java,Refactor,jbecicka,VERI,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.ui.RenameRefactoringUI.getHelpCtx,2012/6/18,1,0,rename local variable,crash,exception,
https://bz.apache.org/netbeans/show_bug.cgi?id=134034,134034,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Pull Up] refactoring causes compiler error if target calls super,2012/5/25,1,0,pull up method,compile error,compile error,super
https://bz.apache.org/netbeans/show_bug.cgi?id=205477,205477,P3,java,Refactor,ralphbenjamin,RESO,FIXE,[Encapsulate Fields] Selecting part of a field open the refactoring for the wrong class,2012/4/12,1,0,Encapsulate Fields,behavior change,behavior change,
https://bz.apache.org/netbeans/show_bug.cgi?id=210915,210915,P3,java,Refactor,ralphbenjamin,RESO,FIXE,Refactoring Pull Up Leaves Single Comment in Sub Class,2012/4/12,1,0,pull up class,comment related,comment related,
https://bz.apache.org/netbeans/show_bug.cgi?id=210867,210867,P3,java,Refactor,jbecicka,RESO,FIXE,NullPointerException at org.netbeans.modules.refactoring.java.plugins.ExtractSuperclassRefactoringPlugin$CreateSuperclassElement.run,2012/4/12,1,0,Create SuperClass and methods,crash,exception,
