html_url,id_number,importance,product,component,assignee,status,resolution,summary,changeddate,symptom category,author patch,input program,input property,refactoring type,root cause
https://bugs.eclipse.org/bugs/show_bug.cgi?id=170239,170239,P2,JDT,UI,tobias_widmer,VERI,FIXE,[extract superclass] IllegalArgumentException during Extract Superclass refactor,2007/5/2,exception,0,1,,extract superclass,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=98475,98475,P3,JDT,UI,martinae,RESO,FIXE,[convert anonymous] forgets to add imports [refactoring],2007/2/16,compile error,0,1,anonymous class,convert anonymous to nested class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=169608,169608,P3,JDT,UI,markus.kell.r,VERI,FIXE,[Use supertype] refactoring causes infinite loop with self-referential generic types,2007/1/15,exception,1,1,java generics,Use supertype wherever possible,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=11664,11664,P3,JDT,UI,akiezun,RESO,FIXE,inline temp: incorrect on multi-declarations [refactoring],2006/11/13,compile error,0,1,joint variable declaration,inline local variable,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=53857,53857,P3,JDT,UI,markus.kell.r,RESO,FIXE,[rename] rename refactoring confused by syntax error,2006/8/3,exception,0,1,,rename class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=137363,137363,P3,JDT,UI,markus.kell.r,RESO,FIXE,[change method signature] Change method signature (visibility) refactor moves annotation,2006/8/3,behavior change,0,1,annotation,change method signature,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=105654,105654,P3,JDT,UI,tobias_widmer,RESO,FIXE,[refactoring] Convert Local Variable to Field has problems with arrays,2006/7/10,compile error,0,1,,convert local variable ,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=110594,110594,P3,JDT,UI,markus.kell.r,RESO,FIXE,[refactoring] CCE in Infer type argument refactoring,2006/7/4,exception,0,1,java generics,Infer Type Arguments,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=140580,140580,P3,JDT,UI,tobias_widmer,RESO,FIXE,Exception thrown while refactoring Extract Superclass,2006/5/12,crash,1,1,,extract superclass,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=138320,138320,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] CCE in Change method signature,2006/5/12,crash,0,1,input options,rename method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=44419,44419,P2,JDT,UI,dirk_baeumer,VERI,FIXE,inline method: arguments need to be parentized [refactoring],2006/5/10,behavior change,0,1,arithmetic expression,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=108030,108030,P2,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Move instance method inserts argument at wrong position,2006/5/10,compile error,0,1,,move method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=77438,77438,P3,JDT,UI,tobias_widmer,RESO,FIXE,Pull up: static reference not adapted [refactoring] [pull up],2006/4/20,compile error,0,1,,pull up field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=120432,120432,P3,JDT,UI,tobias_widmer,RESO,FIXE,"[refactoring] ""Move Member Type to New File"" crashes when going back after an error",2006/4/12,crash,0,1,inner class,move member type to new file,
50139 – [refactoring] [inline] inline static method fails to qualify access to field,50139,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[refactoring] [inline] inline static method fails to qualify access to field,2006/4/7,compile error,0,1,static method,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=98856,98856,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[refactoring] Inlining method results in compiler errors.,2006/4/7,compile error,0,1,,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=123356,123356,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[inline refactoring] Method inlining breaks runtime behavior.,2006/4/7,behavior change,0,1,,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97213,97213,P3,JDT,UI,tobias_widmer,RESO,FIXE,"Push [refactoring] Down into java14 project does not convert static imports, varargs",2006/4/6,compile error,0,1,varargs,push down method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=109280,109280,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[refactoring] [extract method] Extract Method fails to send a required parameter,2006/4/3,compiler error,0,1,,extract method,fail to pass all parameters of original signature
https://bugs.eclipse.org/bugs/show_bug.cgi?id=127665,127665,P3,JDT,UI,markus.kell.r,RESO,FIXE,Introduce Indirection refactoring results in compile error,2006/4/3,compile error,0,1,,introduce indirection,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=48231,48231,P3,JDT,UI,markus.kell.r,VERI,FIXE,extract local variable could be smarter and introduce a block [refactoring] [extract local],2006/3/28,behavior change,0,1,,extract local variable,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=118063,118063,P3,JDT,UI,tobias_widmer,RESO,FIXE,Duplicate public modifier on refactor move method,2006/3/16,compile error,0,1,,move method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=131348,131348,P3,JDT,UI,tobias_widmer,RESO,FIXE,Pull up refactoring allows pulling fields into an interface,2006/3/10,compile error,0,1,,pull up field,overly weak precondition
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97521,97521,P3,JDT,UI,tobias_widmer,RESO,FIXE,[refactoring] [move] Move method to generic type,2006/3/3,incorrect warning message ,0,1,java generics,move method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=127661,127661,P3,JDT,UI,markus.kell.r,VERI,FIXE,Refactoring: status not updated upon changes in Introduce Indirection dialog,2006/2/16,incorrect warning message,0,1,,Introduce Indirection,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=127556,127556,P3,JDT,UI,tobias_widmer,VERI,FIXE,AssertionFailedException refactoring class to a new file,2006/2/16,exception,1,1,inner class,Move Member Type to New File,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=113385,113385,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] [pull up] Pull up refactoring loses method annotation,2006/2/14,behavior change,0,1,annotation,pull up method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=102288,102288,P3,JDT,UI,tobias_widmer,RESO,FIXE,[refactoring] Convert anonymous: generates fields for constants,2006/2/6,behavior change,1,1,anonymous class,inline class,Incorrect Type Resolving
https://bugs.eclipse.org/bugs/show_bug.cgi?id=124659,124659,P3,JDT,UI,tobias_widmer,RESO,FIXE,java.lang.ArrayIndexOutOfBoundsException refactoring member type to seperate file,2006/1/20,exception,0,1,,Move Member Type to New File,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=114509,114509,P3,JDT,UI,tobias_widmer,RESO,FIXE,[refactoring] Move instance method with generating delegates unnecessarily raises field visibility,2006/1/11,unnecessary change,0,1,,move instance method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=114539,114539,P2,JDT,Core,frederic_fusier,VERI,FIXE,[search] Internal error when refactoring code with errors,2006/1/10,crash,0,1,,move field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=97411,97411,P3,JDT,UI,eclipsetalk2,RESO,FIXE,[refactoring] Move Member Type to New File does not make private constructor visible,2006/1/10,compile error ,1,1,,inline class,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=117465,117465,P3,JDT,UI,eclipsetalk2,RESO,FIXE,[refactoring] [move] Moving method to another class incorrectly sets field visibility,2006/1/10,unnecessary change,1,1,enum,move method,ast rewrite issue
https://bugs.eclipse.org/bugs/show_bug.cgi?id=38469,38469,P3,JDT,UI,dirk_baeumer,RESO,FIXE,inline method: incorrect in innerclasses [refactoring],2006/1/4,behavior change,0,1,super constructor,inline method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=122389,122389,P3,JDT,UI,dirk_baeumer,RESO,FIXE,[refactoring] [extract method] Two variable assignment in while loop incorrectly extracts,2006/1/3,behavior change,0,1,,extract method,overly weak precondition
https://bugs.eclipse.org/bugs/show_bug.cgi?id=100212,100212,P3,JDT,UI,dirk_baeumer,VERI,FIXE,[refactoring] Encapsulate field breaks static import statement.,2005/12/13,compile error,0,1,static import,encapsulate field,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=118045,118045,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] cannot pull up method from implementation to interface,2005/12/13,incorrect warning message,0,1,,pull up method,overly strong precondition
https://bugs.eclipse.org/bugs/show_bug.cgi?id=118133,118133,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] InvocationTargetException on a valid refactoring,2005/12/13,exception,0,1,,extract constant,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=119394,119394,P3,JDT,UI,markus.kell.r,VERI,FIXE,[refactoring] IndexOutOfBoundsException in Change Method Signature,2005/12/13,exception,0,1,anonymous class,Change method Signature,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=116342,116342,P2,JDT,UI,dirk_baeumer,VERI,FIXE,[refactoring] [extract method] Pre/post-increment/decrement in loops allowed to be extracted,2005/12/13,behavior change,0,1,,extract method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=119822,119822,P2,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] NPE in when switching to refactoring preview page,2005/12/13,compile error,0,1,,rename class,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=111056,111056,P3,JDT,UI,eclipsetalk2,RESO,FIXE,[refactoring] Move Member Type to New File does not make private member visible,2005/11/11,compile error,0,1,,Move Member Type to New File,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=107998,107998,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] [move] Move method out of non-static inner class too strict.,2005/11/3,not available,0,1,inner class,move method,overly strong preconditions
https://bugs.eclipse.org/bugs/show_bug.cgi?id=106329,106329,P3,JDT,UI,tobias_widmer,VERI,FIXE,[refactoring] Pull Up fails with method type variable of the same name as class type variable,2005/11/1,compile error,0,1,java generics,pull up method,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=100555,100555,P3,JDT,UI,eclipsetalk2,VERI,FIXE,[refactoring] Move Member Type to New File unnecessarily makes private field visible,2005/11/1,unnecessary change,0,1,,Move Member Type to New File,
https://bugs.eclipse.org/bugs/show_bug.cgi?id=107026,107026,P3,JDT,UI,dirk_baeumer,VERI,FIXE,[1.5][refactoring] NPE in ExtractMethodInputPage with enum's,2005/9/20,exception,0,1,enum,extract method,
